t_s,Ia,Ib,Ic,Vdc,theta,enc_angle
1774332908.318431,0.50000,-0.02000,-0.47000,23.96000,4.17570,0.00070
1774332908.318431,0.49000,-0.12000,-0.37000,23.94000,4.23860,0.00070
1774332908.318431,0.50000,-0.26000,-0.24000,23.94000,4.30140,0.00070
1774332908.318431,0.50000,-0.37000,-0.12000,23.96000,4.36420,0.00070
1774332908.318431,0.52000,-0.46000,-0.05000,23.94000,4.42710,0.00070
1774332908.318431,0.56000,-0.52000,-0.04000,23.94000,4.48990,0.00070
1774332908.318431,0.60000,-0.56000,-0.03000,23.93000,4.55270,0.00070
1774332908.318431,0.60000,-0.58000,-0.01000,23.94000,4.61550,0.00070
1774332908.318431,0.64000,-0.63000,-0.01000,23.94000,4.67840,0.00070
1774332908.318431,0.63000,-0.63000,0.00000,23.93000,4.74120,0.00070
1774332908.318431,0.64000,-0.63000,0.00000,23.94000,4.80400,0.00070
1774332908.318431,0.63000,-0.62000,0.00000,23.96000,4.86690,0.00070
1774332908.318431,0.61000,-0.61000,0.00000,23.94000,4.92970,0.00070
1774332908.318431,0.60000,-0.60000,0.00000,23.94000,4.99250,0.00070
1774332908.318431,0.56000,-0.56000,0.00000,23.93000,5.05530,0.00070
1774332908.335325,0.51000,-0.53000,0.02000,23.94000,5.11820,0.00070
1774332908.335325,0.40000,-0.51000,0.10000,23.94000,5.18100,0.00070
1774332908.335325,0.28000,-0.52000,0.24000,23.94000,5.24380,0.00070
1774332908.335325,0.16000,-0.51000,0.35000,23.94000,5.30670,0.00070
1774332908.335325,0.06000,-0.51000,0.45000,23.94000,5.36950,0.00070
1774332908.335325,0.03000,-0.54000,0.50000,23.94000,5.43230,0.00070
1774332908.335325,0.02000,-0.56000,0.54000,23.94000,5.49510,0.00070
1774332908.335325,0.01000,-0.58000,0.56000,23.96000,5.55800,0.00070
1774332908.335325,0.02000,-0.60000,0.58000,23.94000,5.62080,0.00070
1774332908.335325,0.02000,-0.61000,0.59000,23.94000,5.68360,0.00070
1774332908.335325,0.02000,-0.62000,0.60000,23.93000,5.74640,0.00070
1774332908.335325,0.02000,-0.63000,0.60000,23.94000,5.80930,0.00070
